drug,adverse_event,report_count
human immunoglobulin g\hyaluronidase (human recombinant),abdominal discomfort,203
icosapent ethyl,product odour abnormal,203
lenalidomide,contusion,203
osimertinib,decreased appetite,203
risperidone,drug ineffective,203
secukinumab,abdominal discomfort,203
secukinumab,alopecia,203
treprostinil,infusion site pruritus,203
vedolizumab,gastrointestinal motility disorder,203
abemaciclib,constipation,202
adalimumab,discomfort,202
alirocumab,product preparation error,202
"antihemophilic factor, human recombinant",blood urine present,202
apixaban,atrial fibrillation,202
budesonide\formoterol\glycopyrrolate,drug ineffective,202
cabozantinib s-malate,asthenia,202
certolizumab pegol,loss of personal independence in daily activities,202
clozapine,tachycardia,202
diazepam,toxicity to various agents,202
dupilumab,sensitive skin,202
fluticasone furoate\umeclidinium bromide\vilanterol trifenatate,incorrect dose administered,202
fulvestrant,diarrhoea,202
human c1-esterase inhibitor,drug ineffective,202
human immunoglobulin g\hyaluronidase (human recombinant),needle issue,202
idursulfase,catheter site bruise,202
palbociclib,anaemia,202
risankizumab-rzaa,hip arthroplasty,202
risankizumab-rzaa,insomnia,202
rituximab,blood pressure systolic abnormal,202
secukinumab,blister,202
tezepelumab-ekko,arthralgia,202
velaglucerase alfa,infusion related reaction,202
abaloparatide,feeling abnormal,201
abatacept,weight increased,201
adalimumab,liver injury,201
enfortumab vedotin-ejfv,malignant neoplasm progression,201
human immunoglobulin g,breast cancer,201
human immunoglobulin g,product quality issue,201
idursulfase,general physical health deterioration,201
lanadelumab,product distribution issue,201
methotrexate,weight increased,201
nemolizumab-ilto,dermatitis atopic,201
pimavanserin tartrate,product use in unapproved indication,201
ponatinib,drug ineffective,201
relugolix,surgery,201
ribociclib succinate,malaise,201
ruxolitinib,covid-19,201
sparsentan,pruritus,201
teduglutide,sinusitis,201
teprotumumab-trbw,graves' disease,201
tirzepatide,inappropriate schedule of product administration,201
tocilizumab,dizziness,201
upadacitinib,knee operation,201
upadacitinib,weight increased,201
ustekinumab,accidental exposure to product,201
.alpha.1-proteinase inhibitor human,asthenia,200
abatacept,pericarditis,200
alendronate sodium,systemic lupus erythematosus,200
amlodipine besylate,dyspnoea,200
"antihemophilic factor, human recombinant",neck pain,200
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,off label use,200
dupilumab,eyelid skin dryness,200
dupilumab,loss of consciousness,200
esketamine,depression,200
ibuprofen,product use in unapproved indication,200
idursulfase,multiple allergies,200
infliximab,oropharyngeal pain,200
lorlatinib,blood cholesterol increased,200
metformin hydrochloride,fatigue,200
methotrexate,asthenia,200
naproxen sodium,drug ineffective,200
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,abdominal pain upper,200
ribociclib succinate,vomiting,200
rituximab,chest pain,200
selinexor,diarrhoea,200
teduglutide,bronchitis,200
tocilizumab,pruritus,200
treprostinil,injection site erythema,200
vedolizumab,dysgeusia,200
vedolizumab,pancreatitis,200
adalimumab,stomatitis,199
alendronate sodium,rash,199
amikacin,productive cough,199
certolizumab pegol,fall,199
copper,abortion spontaneous,199
diclofenac,pain,199
human immunoglobulin g,rash erythematous,199
human immunoglobulin g,skin cancer,199
human immunoglobulin g\hyaluronidase (human recombinant),nasal congestion,199
ibuprofen,cross sensitivity reaction,199
idursulfase,epistaxis,199
inclisiran sodium,arthralgia,199
mycophenolate mofetil,covid-19,199
ocrelizumab,dizziness,199
prednisone,rebound effect,199
rituximab,illness,199
semaglutide,hypertension,199
sodium oxybate,weight decreased,199
treprostinil,arthritis,199
vedolizumab,decreased immune responsiveness,199
velaglucerase alfa,urinary tract infection,199
venetoclax,asthenia,199
abaloparatide,muscle spasms,198
abatacept,dyspnoea,198
adalimumab,sepsis,198
amikacin,fatigue,198
certolizumab pegol,axial spondyloarthritis,198
etanercept,infection,198
gabapentin,somnolence,198
human immunoglobulin g,chronic inflammatory demyelinating polyradiculoneuropathy,198
human immunoglobulin g\hyaluronidase (human recombinant),injection site swelling,198
idursulfase,asthma,198
idursulfase,skin discolouration,198
infliximab-dyyb,erythema nodosum,198
letrozole,malignant neoplasm progression,198
mycophenolate mofetil,acute kidney injury,198
nemolizumab-ilto,device leakage,198
nivolumab,fatigue,198
olaparib,renal impairment,198
omalizumab,swelling face,198
palbociclib,weight decreased,198
ruxolitinib,thrombocytopenia,198
secukinumab,gait disturbance,198
teduglutide,localised infection,198
treprostinil,contusion,198
treprostinil,drug titration error,198
acetaminophen,headache,197
acetaminophen,product use issue,197
adapalene,acne,197
apixaban,anaemia,197
belimumab,arthralgia,197
brigatinib,off label use,197
budesonide,fatigue,197
budesonide\formoterol fumarate,device delivery system issue,197
certolizumab pegol,surgery,197
diazepam,drug abuse,197
dupilumab,lack of injection site rotation,197
dupilumab,nasal obstruction,197
human immunoglobulin g,rhinitis,197
idursulfase,device occlusion,197
idursulfase,syncope,197
infliximab-qbtx,condition aggravated,197
isotretinoin,product dose omission issue,197
lamotrigine,rash,197
ruxolitinib,product dose omission in error,197
treprostinil,presyncope,197
upadacitinib,gastrointestinal disorder,197
vedolizumab,gastrointestinal viral infection,197
vedolizumab,vitamin b12 decreased,197
velaglucerase alfa,insomnia,197
vutrisiran,death,197
adalimumab,lung disorder,196
alendronate sodium,abdominal discomfort,196
ambrisentan,dyspnoea,196
cenobamate,off label use,196
certolizumab pegol,vomiting,196
denosumab,off label use,196
dulaglutide,dyspepsia,196
dupilumab,dermatitis contact,196
dupilumab,palpitations,196
elacestrant,fatigue,196
empagliflozin,urinary tract infection,196
emtricitabine\tenofovir disoproxil fumarate,osteopenia,196
fenfluramine,weight increased,196
human immunoglobulin g\hyaluronidase (human recombinant),anxiety,196
infliximab-dyyb,heart rate increased,196
ixekizumab,injection site reaction,196
minoxidil,inappropriate schedule of product administration,196
oxycodone hydrochloride,toxicity to various agents,196
palbociclib,dizziness,196
pimavanserin tartrate,nausea,196
polyethylene glycol 3350,incorrect product administration duration,196
risankizumab-rzaa,unevaluable event,196
rituximab,blood pressure fluctuation,196
secukinumab,covid-19,196
tirzepatide,suicidal ideation,196
treprostinil,hypoacusis,196
treprostinil,secretion discharge,196
ublituximab-xiiy,infusion related reaction,196
vedolizumab,colon cancer,196
vedolizumab,hypoacusis,196
vedolizumab,sepsis,196
.alpha.1-proteinase inhibitor human,pruritus,195
adalimumab,anxiety,195
albuterol sulfate\budesonide,product dose omission issue,195
alendronate sodium,joint swelling,195
alendronate sodium,pericarditis,195
amikacin,drug ineffective,195
cabozantinib s-malate,blister,195
corticotropin,injection site haemorrhage,195
etonogestrel,incorrect product administration duration,195
human immunoglobulin g,streptococcal infection,195
idursulfase,device breakage,195
lanreotide acetate,nausea,195
ofatumumab,arthralgia,195
pregabalin,withdrawal syndrome,195
risankizumab-rzaa,maternal exposure during pregnancy,195
tocilizumab,nasal congestion,195
treprostinil,wrong technique in device usage process,195
abatacept,pyrexia,194
abatacept,treatment failure,194
adapalene,skin burning sensation,194
alendronate sodium,glossodynia,194
"antihemophilic factor, human recombinant",headache,194
copper,intermenstrual bleeding,194
diazepam,substance use disorder,194
idursulfase,snoring,194
infliximab,pruritus,194
infliximab-dyyb,nasal congestion,194
lanadelumab,cough,194
lenalidomide,thrombocytopenia,194
palbociclib,pain in extremity,194
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,pain,194
pembrolizumab,proteinuria,194
rituximab,alopecia,194
ruxolitinib,condition aggravated,194
secukinumab,discomfort,194
teduglutide,overgrowth bacterial,194
tocilizumab,arthropathy,194
tocilizumab,blood pressure systolic abnormal,194
upadacitinib,neoplasm malignant,194
.alpha.1-proteinase inhibitor human,infection,193
adapalene,skin irritation,193
apixaban,epistaxis,193
celecoxib,product use in unapproved indication,193
certolizumab pegol,incorrect dose administered,193
donanemab-azbt,infusion related reaction,193
dupilumab,blepharitis,193
enfortumab vedotin-ejfv,pruritus,193
enzalutamide,fatigue,193
exenatide,product dose omission issue,193
idursulfase,secretion discharge,193
infliximab,fistula,193
lecanemab-irmb,infusion related reaction,193
methotrexate,abdominal discomfort,193
natalizumab,maternal exposure during pregnancy,193
ofatumumab,paraesthesia,193
oxycodone hydrochloride,emotional distress,193
palbociclib,back pain,193
pembrolizumab,pruritus,193
risankizumab-rzaa,cough,193
risankizumab-rzaa,procedural pain,193
rituximab,blood pressure diastolic abnormal,193
treprostinil,sneezing,193
vedolizumab,infusion related reaction,193
vedolizumab,swelling,193
abatacept,urticaria,192
adalimumab,wound infection,192
alendronate sodium,fatigue,192
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,tremor,192
carboplatin,product use in unapproved indication,192
encorafenib,off label use,192
galcanezumab-gnlm,incorrect dose administered,192
human immunoglobulin g,rotator cuff syndrome,192
human immunoglobulin g\hyaluronidase (human recombinant),memory impairment,192
infliximab-dyyb,abdominal pain upper,192
irinotecan hydrochloride,diarrhoea,192
levetiracetam,epilepsy,192
levonorgestrel,device breakage,192
maribavir,dysgeusia,192
metformin hydrochloride,shock,192
ocrelizumab,no adverse event,192
parathyroid hormone,hypocalcaemia,192
prednisone,drug effective for unapproved indication,192
pregabalin,intentional product misuse,192
propranolol hydrochloride,drug ineffective,192
secukinumab,device defective,192
secukinumab,product use in unapproved indication,192
semaglutide,muscle spasms,192
tenofovir disoproxil fumarate,bone density decreased,192
treprostinil sodium,diarrhoea,192
upadacitinib,joint swelling,192
vedolizumab,rash erythematous,192
alendronate sodium,drug ineffective,191
amlodipine besylate,dizziness,191
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,illness,191
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,weight decreased,191
certolizumab pegol,urticaria,191
clozapine,haematocrit decreased,191
conestat alfa,intentional product use issue,191
corticotropin,feeling abnormal,191
cytarabine\daunorubicin,febrile neutropenia,191
fenfluramine,nasopharyngitis,191
foscarbidopa\foslevodopa,infusion site induration,191
idursulfase,wheezing,191
idursulfase,wrong technique in product usage process,191
imatinib,drug ineffective,191
leflunomide,drug ineffective,191
methotrexate,inappropriate schedule of product administration,191
methotrexate,thrombocytopenia,191
methotrexate,weight decreased,191
methotrexate sodium,nausea,191
pexidartinib hydrochloride,hair colour changes,191
polyethylene glycol 3350,incorrect dose administered,191
sipuleucel-t,infusion related reaction,191
sodium oxybate,fall,191
teduglutide,haemorrhage,191
tobramycin,off label use,191
treprostinil,decreased activity,191
vedolizumab,head discomfort,191
vedolizumab,joint stiffness,191
abatacept,therapeutic product effect decreased,190
abemaciclib,off label use,190
alendronate sodium,condition aggravated,190
amiodarone,drug ineffective,190
benralizumab,headache,190
bupropion hydrochloride\naltrexone hydrochloride,patient dissatisfaction with treatment,190
certolizumab pegol,cough,190
dupilumab,cardiac disorder,190
estradiol,hot flush,190
fulvestrant,off label use,190
human immunoglobulin g,oral herpes,190
human immunoglobulin g,respiratory disorder,190
human immunoglobulin g\hyaluronidase (human recombinant),dehydration,190
icatibant acetate,tremor,190
ixazomib,constipation,190
ixekizumab,drug ineffective,190
methotrexate,covid-19,190
risankizumab-rzaa,gait disturbance,190
sertraline hydrochloride,suicidal ideation,190
sirolimus,off label use,190
tadalafil,dyspnoea,190
tocilizumab,hepatic enzyme increased,190
treprostinil,sepsis,190
vedolizumab,gout,190
vedolizumab,post procedural complication,190
vedolizumab,ulcer,190
velaglucerase alfa,feeling abnormal,190
venetoclax,haemoglobin decreased,190
bimekizumab,fatigue,189
calcium chloride\dextrose\magnesium chloride\sodium chloride\sodium lactate,peritoneal cloudy effluent,189
dupilumab,vertigo,189
icatibant acetate,discomfort,189
icatibant acetate,oropharyngeal pain,189
idursulfase,sleep apnoea syndrome,189
infliximab,erythema,189
infliximab-dyyb,infection,189
norgestrel,pregnancy on oral contraceptive,189
pimavanserin tartrate,therapy interrupted,189
relugolix,vomiting,189
ruxolitinib,myalgia,189
secukinumab,back pain,189
secukinumab,general physical health deterioration,189
semaglutide,insomnia,189
semaglutide,pruritus,189
sertraline hydrochloride,anxiety,189
tislelizumab,white blood cell count decreased,189
tocilizumab,ill-defined disorder,189
tofacitinib citrate,intentional dose omission,189
vedolizumab,respiratory syncytial virus infection,189
.alpha.1-proteinase inhibitor human,cataract,188
abatacept,sinusitis,188
adalimumab,product use issue,188
alendronate sodium,infusion related reaction,188
alendronate sodium,synovitis,188
"antihemophilic factor, human recombinant",product availability issue,188
ciprofloxacin,arthralgia,188
clozapine,seizure,188
corticotropin,arthralgia,188
dapagliflozin,fall,188
diclofenac,joint swelling,188
diroximel fumarate,fatigue,188
fostamatinib,product dose omission issue,188
human immunoglobulin g,hospitalisation,188
hydrocortisone,drug ineffective,188
idursulfase,patient uncooperative,188
infliximab,rheumatoid arthritis,188
isotretinoin,product use issue,188
levothyroxine sodium,palpitations,188
mycophenolate mofetil,septic shock,188
pomalidomide,influenza,188
ponatinib,dizziness,188
ravulizumab-cwvz,malaise,188
ribociclib succinate,pain,188
sertraline hydrochloride,toxicity to various agents,188
sparsentan,glomerular filtration rate decreased,188
tirzepatide,influenza,188
tocilizumab,pneumonia,188
tramadol,drug dependence,188
treprostinil,hospitalisation,188
triamcinolone acetonide,drug ineffective,188
upadacitinib,dermatitis atopic,188
voclosporin,hypertension,188
albuterol sulfate\budesonide,wrong technique in device usage process,187
alendronate sodium,rheumatoid arthritis,187
atorvastatin,medication error,187
carboplatin,vomiting,187
certolizumab pegol,wound,187
corticotropin,fluid retention,187
estradiol,off label use,187
human immunoglobulin g,condition aggravated,187
human immunoglobulin g,muscle strain,187
human immunoglobulin g,paranasal sinus discomfort,187
icatibant acetate,decreased appetite,187
idursulfase,bowel movement irregularity,187
idursulfase,product storage error,187
infliximab-dyyb,blood pressure diastolic decreased,187
ixazomib,platelet count decreased,187
levetiracetam,foetal exposure during pregnancy,187
metformin hydrochloride,drug interaction,187
metformin hydrochloride,hypotension,187
methotrexate,musculoskeletal stiffness,187
methotrexate,psoriasis,187
omalizumab,feeling abnormal,187
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,fall,187
relugolix,mood swings,187
ritlecitinib tosylate,drug ineffective,187
rituximab,abdominal pain,187
rituximab,gait disturbance,187
sarilumab,injection site pruritus,187
secukinumab,weight increased,187
teduglutide,blood glucose decreased,187
teduglutide,gastrointestinal pain,187
abatacept,fibromyalgia,186
adalimumab,bursitis,186
"antihemophilic factor, human recombinant",gingival bleeding,186
atorvastatin,pain in extremity,186
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,wrong technique in product usage process,186
diroximel fumarate,diarrhoea,186
fenfluramine hydrochloride,epilepsy,186
human immunoglobulin g,sjogren's syndrome,186
human immunoglobulin g,tooth fracture,186
icatibant acetate,dysphagia,186
ixazomib,headache,186
lenalidomide,oedema peripheral,186
levetiracetam,aggression,186
metformin hydrochloride,renal failure,186
olaparib,product dose omission issue,186
ponatinib,dyspnoea,186
propranolol hydrochloride,haemangioma,186
quetiapine,suicide attempt,186
ribociclib succinate,pruritus,186
rituximab,lower respiratory tract infection,186
rosuvastatin,drug interaction,186
ruxolitinib,gait disturbance,186
secukinumab,systemic lupus erythematosus,186
semaglutide,blindness,186
somatropin,headache,186
teduglutide,stoma obstruction,186
upadacitinib,therapy interrupted,186
vedolizumab,abdominal abscess,186
abaloparatide,intentional product misuse,185
adalimumab,injection site erythema,185
adalimumab,unevaluable event,185
albuterol sulfate,device occlusion,185
alendronate sodium,alopecia,185
alendronate sodium,hand deformity,185
alendronate sodium,wound,185
"antihemophilic factor, human recombinant",pharyngitis streptococcal,185
atorvastatin,asthenia,185
brexpiprazole,death,185
cannabidiol,somnolence,185
carbidopa\levodopa,gait disturbance,185
carboplatin,pneumonia,185
cenegermin-bkbj,wrong technique in product usage process,185
clozapine,overdose,185
emtricitabine\tenofovir disoproxil fumarate,acute kidney injury,185
estradiol,application site erythema,185
fluticasone propionate,product dose omission issue,185
foscarbidopa\foslevodopa,device issue,185
human immunoglobulin g,eye pain,185
ibuprofen,anaphylactic reaction,185
idursulfase,device malfunction,185
nirmatrelvir\ritonavir,off label use,185
olanzapine,weight increased,185
pomalidomide,tremor,185
ponatinib,alopecia,185
relugolix,product use issue,185
rituximab-pvvr,inappropriate schedule of product administration,185
ruxolitinib,laboratory test abnormal,185
sertraline hydrochloride,multiple acyl-coenzyme a dehydrogenase deficiency,185
sodium oxybate,initial insomnia,185
somatropin,injection site discharge,185
upadacitinib,anaemia,185
valganciclovir,off label use,185
vedolizumab,dementia,185
velaglucerase alfa,body temperature decreased,185
venetoclax,infection,185
acetaminophen\ibuprofen,drug effective for unapproved indication,184
adalimumab,haematochezia,184
amlodipine besylate,shock,184
apremilast,fatigue,184
cabozantinib s-malate,vomiting,184
dulaglutide,intestinal obstruction,184
fulvestrant,vomiting,184
human c1-esterase inhibitor,inappropriate schedule of product administration,184
human immunoglobulin g\hyaluronidase (human recombinant),death,184
idursulfase,intentional removal of drug delivery system by patient,184
infliximab-dyyb,defaecation urgency,184
lanadelumab,diarrhoea,184
lanadelumab,nephrolithiasis,184
leuprolide acetate,weight increased,184
mepolizumab,pain,184
pegfilgrastim,device occlusion,184
quetiapine,somnolence,184
ravulizumab-cwvz,muscular weakness,184
relugolix,flatulence,184
risankizumab-rzaa,therapeutic product effect incomplete,184
rituximab,pemphigus,184
rituximab,underdose,184
somatropin,device occlusion,184
tirzepatide,hypophagia,184
tirzepatide,injection site irritation,184
tocilizumab,blood cholesterol increased,184
vedolizumab,eye inflammation,184
zolpidem tartrate,toxicity to various agents,184
abatacept,loss of therapeutic response,183
adalimumab,hidradenitis,183
adalimumab-aaty,intentional product use issue,183
belimumab,exposure via skin contact,183
bimekizumab-bkzx,acne,183
carboplatin,disease progression,183
clozapine,lymphocyte count decreased,183
copper,menstrual disorder,183
evolocumab,fatigue,183
guselkumab,inappropriate schedule of product administration,183
human immunoglobulin g,speech disorder,183
human immunoglobulin g,vascular device infection,183
ibuprofen,drug hypersensitivity,183
icatibant acetate,pneumonia,183
menthol,occupational exposure to toxic agent,183
ocrelizumab,nausea,183
olanzapine,somnolence,183
pomalidomide,urinary tract infection,183
ribociclib succinate,diarrhoea,183
ruxolitinib,fall,183
tafamidis,dyspnoea,183
teduglutide,chromaturia,183
tocilizumab,hypersensitivity,183
treprostinil,device breakage,183
treprostinil,nervousness,183
trofinetide,decreased appetite,183
upadacitinib,abdominal pain upper,183
vedolizumab,intestinal fistula,183
vedolizumab,serum ferritin decreased,183
abaloparatide,vomiting,182
abatacept,helicobacter infection,182
bimekizumab-bkzx,device malfunction,182
budesonide,blood pressure increased,182
carbidopa\levodopa,weight decreased,182
carboplatin,malignant neoplasm progression,182
carboplatin,pyrexia,182
cenegermin-bkbj,dry eye,182
certolizumab pegol,abdominal discomfort,182
cyclosporine,dry eye,182
dupilumab,muscular weakness,182
dupilumab,retching,182
esomeprazole magnesium,headache,182
fenfluramine,agitation,182
fenfluramine,behaviour disorder,182
ibuprofen,dyspnoea,182
mepolizumab,death,182
ofatumumab,memory impairment,182
osimertinib,drug resistance,182
osimertinib,nausea,182
pembrolizumab,adrenal insufficiency,182
prednisone,pneumonia,182
risankizumab-rzaa,osteoarthritis,182
secukinumab,synovitis,182
semaglutide,surgery,182
tocilizumab,pain in extremity,182
upadacitinib,loss of consciousness,182
vedolizumab,product storage error,182
vedolizumab,sinus congestion,182
zoledronic acid,nausea,182
abemaciclib,malignant neoplasm progression,181
acetaminophen\ibuprofen,product use in unapproved indication,181
adalimumab,paraesthesia,181
apixaban,dizziness,181
apremilast,arthralgia,181
cabozantinib s-malate,malaise,181
certolizumab pegol,drug intolerance,181
clozapine,"hallucination, auditory",181
clozapine,troponin increased,181
copper,discomfort,181
corticotropin,illness,181
corticotropin,injection site discolouration,181
diclofenac sodium,rash,181
human immunoglobulin g,hypoxia,181
human immunoglobulin g,oral candidiasis,181
ibuprofen,vomiting,181
infliximab,fall,181
infliximab-dyyb,anal fistula,181
insulin lispro,contusion,181
lenvatinib,dehydration,181
lenvatinib,malignant neoplasm progression,181
levothyroxine sodium,alopecia,181
lidocaine,local anaesthetic systemic toxicity,181
methotrexate,infection,181
methotrexate,neutropenia,181
methotrexate,pain in extremity,181
methotrexate,peripheral swelling,181
natalizumab,memory impairment,181
ofatumumab,back pain,181
pancrelipase amylase\pancrelipase lipase\pancrelipase protease,nausea,181
pomalidomide,headache,181
pomalidomide,inappropriate schedule of product administration,181
pregabalin,coma,181
propranolol hydrochloride,condition aggravated,181
ribociclib succinate,off label use,181
secukinumab,rheumatoid arthritis,181
thalidomide,off label use,181
ticagrelor,dyspnoea,181
vedolizumab,liver function test increased,181
vedolizumab,ocular hyperaemia,181
bevacizumab,drug effective for unapproved indication,180
bimekizumab-bkzx,therapeutic product effect incomplete,180
buprenorphine,drug abuse,180
calcium chloride\dextrose\magnesium chloride\sodium chloride\sodium lactate,abdominal pain,180
carbidopa\levodopa,pneumonia,180
corticotropin,dyspnoea,180
cyclosporine,eye pruritus,180
diroximel fumarate,pruritus,180
emtricitabine\tenofovir disoproxil fumarate,vitamin d deficiency,180
fenfluramine,hypersomnia,180
fulvestrant,metastases to bone,180
human immunoglobulin g,psoriasis,180
ixazomib,plasma cell myeloma,180
mepolizumab,injection site pain,180
methotrexate,general physical health deterioration,180
nemolizumab-ilto,eczema,180
osimertinib,dyspnoea,180
palbociclib,product dose omission in error,180
quetiapine fumarate,drug ineffective,180
relugolix,balance disorder,180
risankizumab-rzaa,feeling abnormal,180
risankizumab-rzaa,hypertension,180
risankizumab-rzaa,memory impairment,180
rituximab,wound,180
ruxolitinib,abdominal pain upper,180
secukinumab,arthropathy,180
sparsentan,blood creatinine increased,180
teduglutide,arthritis,180
tezepelumab,death,180
tirzepatide,chills,180
tramadol,drug abuse,180
vedolizumab,aphonia,180
velaglucerase alfa,ankle fracture,180
velaglucerase alfa,pregnancy,180
.alpha.1-proteinase inhibitor human,death,179
abatacept,irritable bowel syndrome,179
abatacept,musculoskeletal stiffness,179
adalimumab,intentional dose omission,179
adalimumab,therapy non-responder,179
adalimumab-adaz,device malfunction,179
amikacin,aphonia,179
apixaban,contusion,179
apixaban,dyspnoea,179
bevacizumab,neutropenia,179
bimekizumab,therapeutic response shortened,179
brigatinib,muscle spasms,179
certolizumab pegol,product storage error,179
denosumab,arthralgia,179
evolocumab,arthralgia,179
fruquintinib,hypertension,179
gabapentin,dizziness,179
human immunoglobulin g\hyaluronidase (human recombinant),thrombosis,179
mepolizumab,fall,179
metformin hydrochloride,asthenia,179
methotrexate,cough,179
ofatumumab,injection site pain,179
ofatumumab,muscular weakness,179
pembrolizumab,palmar-plantar erythrodysaesthesia syndrome,179
pimavanserin tartrate,product distribution issue,179
pregabalin,headache,179
pregabalin,overdose,179
risankizumab-rzaa,thrombosis,179
rituximab,bronchitis,179
semaglutide,nasopharyngitis,179
semaglutide,pain in extremity,179
tacrolimus,covid-19,179
teduglutide,device leakage,179
teduglutide,scar,179
velaglucerase alfa,viral infection,179
.alpha.1-proteinase inhibitor human,chest pain,178
abatacept,folliculitis,178
aripiprazole,fatigue,178
bimekizumab-bkzx,fungal infection,178
bimekizumab-bkzx,illness,178
coagulation factor ix recombinant human\isopropyl alcohol,haemorrhage,178
enfortumab vedotin-ejfv,death,178
enfortumab vedotin-ejfv,diarrhoea,178
epcoritamab-bysp,diffuse large b-cell lymphoma refractory,178
fentanyl,overdose,178
finasteride,loss of libido,178
human immunoglobulin g,infusion site oedema,178
human immunoglobulin g,myasthenia gravis,178
human immunoglobulin g,osteoarthritis,178
isatuximab,anaemia,178
mesalamine,haematochezia,178
methotrexate,pruritus,178
minoxidil,intentional product misuse,178
oxycodone hydrochloride,drug withdrawal syndrome,178
pimavanserin tartrate,feeling abnormal,178
pomalidomide,product distribution issue,178
rituximab,back pain,178
ruxolitinib,full blood count decreased,178
secukinumab,gait inability,178
secukinumab,sinusitis,178
sertraline hydrochloride,dizziness,178
sertraline hydrochloride,drug interaction,178
teduglutide,general physical health deterioration,178
teduglutide,oedema,178
teduglutide,tremor,178
teriparatide,device malfunction,178
tocilizumab,swelling,178
tofacitinib citrate,hypoacusis,178
trastuzumab,nausea,178
treprostinil,asthma,178
treprostinil,hyperhidrosis,178
upadacitinib,haematochezia,178
upadacitinib,nephrolithiasis,178
adalimumab,cerebrovascular accident,177
adalimumab,gastrooesophageal reflux disease,177
alendronate sodium,arthropathy,177
alendronate sodium,hypoaesthesia,177
"antihemophilic factor, human recombinant",back injury,177
benralizumab,fall,177
bimekizumab-bkzx,nasopharyngitis,177
clozapine,fall,177
evolocumab,injury associated with device,177
exenatide,device delivery system issue,177
fenfluramine,aortic dilatation,177
fruquintinib,pain,177
human immunoglobulin g\hyaluronidase (human recombinant),rhinorrhoea,177
idursulfase,device alarm issue,177
infliximab,psoriasis,177
lanadelumab,pain,177
nivolumab,decreased appetite,177
olanzapine,toxicity to various agents,177
osimertinib,disease progression,177
pomalidomide,cough,177
quetiapine,intentional overdose,177
relugolix,anxiety,177
rosuvastatin,muscle spasms,177
secukinumab,depression,177
secukinumab,drug intolerance,177
semaglutide,memory impairment,177
somatropin,wrong technique in product usage process,177
teduglutide,hot flush,177
temozolomide,product use in unapproved indication,177
tildrakizumab-asmn,product dose omission issue,177
tirzepatide,dry mouth,177
trofinetide,influenza,177
vedolizumab,impaired healing,177
vedolizumab,obstruction,177
abaloparatide,malaise,176
abatacept,anti-cyclic citrullinated peptide antibody positive,176
abatacept,confusional state,176
abatacept,type 2 diabetes mellitus,176
abemaciclib,headache,176
adalimumab,colitis,176
"antihemophilic factor, human recombinant",ecchymosis,176
belimumab,product use in unapproved indication,176
clozapine,differential white blood cell count abnormal,176
dupilumab,limb injury,176
durvalumab,cholangitis,176
estradiol,application site pruritus,176
faricimab-svoa,visual impairment,176
glatiramer acetate,injection site pain,176
human immunoglobulin g,eye pruritus,176
infliximab-dyyb,therapeutic product effect incomplete,176
omalizumab,blood pressure systolic increased,176
omalizumab,myalgia,176
parathyroid hormone,recalled product,176
relugolix,covid-19,176
rituximab,hepatic enzyme increased,176
ruxolitinib,hypertension,176
sertraline hydrochloride,fatigue,176
teduglutide,nervousness,176
teprotumumab-trbw,product use complaint,176
treprostinil,infusion site irritation,176
vedolizumab,infrequent bowel movements,176
abatacept,mobility decreased,175
adalimumab,ill-defined disorder,175
adalimumab,muscular weakness,175
bimekizumab-bkzx,ankylosing spondylitis,175
capsaicin,application site pain,175
certolizumab pegol,hypoaesthesia,175
certolizumab pegol,swelling,175
certolizumab pegol,weight increased,175
cladribine,headache,175
cyclophosphamide,nausea,175
diclofenac,arthralgia,175
doxorubicin,disease progression,175
dupilumab,eosinophil count increased,175
dupilumab,lip swelling,175
durvalumab,platelet count decreased,175
fluticasone furoate\umeclidinium bromide\vilanterol trifenatate,off label use,175
foscarbidopa\foslevodopa,confusional state,175
human immunoglobulin g,pneumonia bacterial,175
human immunoglobulin g,skin abrasion,175
human immunoglobulin g,skin lesion,175
icatibant acetate,blood pressure increased,175
idursulfase,complication associated with device,175
idursulfase,infusion site inflammation,175
idursulfase,pruritus,175
lenalidomide,neutrophil count decreased,175
methylprednisolone,drug ineffective,175
ocrelizumab,pyrexia,175
pomalidomide,full blood count decreased,175
ravulizumab-cwvz,therapeutic response shortened,175
relugolix,emotional disorder,175
risankizumab-rzaa,frequent bowel movements,175
risankizumab-rzaa,stress,175
rituximab,mobility decreased,175
rituximab-pvvr,fatigue,175
ruxolitinib,memory impairment,175
teprotumumab-trbw,deafness neurosensory,175
tralokinumab-ldrm,pruritus,175
treprostinil,oxygen consumption increased,175
vedolizumab,intestinal mass,175
abatacept,abdominal pain upper,174
abemaciclib,alopecia,174
abemaciclib,white blood cell count decreased,174
acetaminophen,therapeutic product effect incomplete,174
adalimumab,night sweats,174
adalimumab,stress,174
albuterol sulfate,circumstance or information capable of leading to medication error,174
alendronate sodium,irritable bowel syndrome,174
